ï»¿serial-number,part-number,name,temperature,rx-power,tx-power,current,voltage,power-on-time,ip-address,Label
JAF41836000023F,P9H32A,fc/0/7,49,635.5,446.6,7.77,3349.7,35651,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,628.4,445.8,7.76,3347.6,35652,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,642,445.3,7.75,3363,35655,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,636.6,444.3,7.76,3340.5,35656,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,634.6,444.7,7.77,3353.1,35657,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,633,443.9,7.76,3343.6,35658,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,637.7,444.9,7.76,3346.3,35659,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,637.1,444.6,7.77,3340.3,35660,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,642.6,445.6,7.77,3347.3,35663,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,637.2,445.5,7.76,3347.3,35674,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,639.6,446.1,7.76,3333.6,35675,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,647.2,444.5,7.76,3353.2,35681,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,635.9,444,7.76,3348,35685,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,642.4,445.1,7.77,3332.9,35686,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,639.5,447.2,7.76,3343.4,35689,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,647.5,448.6,7.81,3345.9,35691,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,624.4,442.1,7.76,3339,35692,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,637.2,444.2,7.76,3353.8,35696,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,641.3,447,7.78,3340.8,35704,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,609.2,445.7,7.76,3347.1,35710,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,50,613.2,443,7.76,3342,35714,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,50,619.8,444.1,7.76,3340.6,35716,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,50,616.7,443.7,7.76,3341.7,35717,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,50,623,443.5,7.77,3338.2,35717,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,612.4,446.3,7.76,3340.1,35725,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,625.7,444.8,7.76,3330.4,35730,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,611,443.8,7.77,3350.6,35734,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,625.7,445.4,7.77,3359.9,35740,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,615.2,442.4,7.76,3344.6,35742,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,610.7,442.3,7.77,3340.2,35743,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,609.3,440,7.76,3351,35743,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,602.4,440.8,7.76,3333.6,35744,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,605.1,440.6,7.76,3338.8,35746,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,611.5,441.3,7.76,3342.9,35747,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,603.2,440.5,7.76,3336.2,35749,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,597.9,441.1,7.76,3343.3,35750,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,611.6,441.7,7.76,3333.8,35751,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,595.7,438.4,7.74,3334.7,35757,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,601.9,439.8,7.76,3341.9,35758,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,599.8,439.5,7.76,3338.5,35759,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,603.9,443.4,7.76,3351.5,35760,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,602.3,439.1,7.76,3343.7,35762,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,606.5,442.9,7.77,3358,35763,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,605.1,440.9,7.76,3346.9,35764,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,604.3,440.7,7.77,3343.8,35765,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,608.1,439.9,7.77,3344.6,35766,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,600.4,440.3,7.76,3347.2,35768,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,603.6,439,7.76,3335.8,35771,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,605.4,439.7,7.76,3330,35772,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,601.4,439.6,7.76,3348.8,35776,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,603,442.2,7.77,3348.4,35777,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,603.8,442.5,7.77,3361.4,35777,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,598.9,441.5,7.76,3344.4,35780,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,602.2,441.4,7.76,3340.6,35782,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,604.3,440.4,7.76,3346.2,35785,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,599,441,7.76,3330.2,35790,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,601.4,441.6,7.76,3335.1,35792,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,605.4,441.8,7.77,3339.5,35795,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,602.3,440.1,7.76,3335.9,35799,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,604.7,439.3,7.77,3339.3,35800,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,598.9,440.2,7.76,3346.3,35816,172.17.101.190,PreWarning
